sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
5.81624309980799,2.55018301597176,5.01141622063783,0.462486257426849,1
5.81000762702982,4.39795061494434,1.30049434579476,0.306989978847295,0
8.13754678806956,3.07785315984271,7.55041095229747,2.18632612690099,2
5.24531123169802,2.943513963811,4.04586492123692,2.07554201222217,2
6.91001962154287,3.08757453104823,4.86062874375599,0.971994867711531,1
5.16174930632056,3.9913822519948496,2.10579352738406,0.769318990353542,0
5.50341109179971,3.12249130579315,4.11642401754313,1.85407492323972,1
6.88316221549264,3.08303515454659,5.66219938411579,2.19217010360391,2
6.428503438814049,1.92825137619691,4.87939791795736,1.51972729168233,1
6.08163635645238,2.41187728186343,3.44061341435196,1.37685650098405,1
6.07350421324849,2.9357556562979,4.54791598329691,1.67889064704076,1
4.12809844415882,3.45399069611999,1.5299596253072,0.232649720249169,0
5.93425908197691,3.95968781662106,0.735881313293093,0.0470084062170703,0
5.17636164534151,3.20453904807788,1.20294672595195,-1.25272523989412,0
5.32399544939188,3.81752431818612,1.72864874347642,0.583660795346324,0
6.40814326422692,3.8030473996174896,4.07257660420892,0.642338326253811,1
7.39729439558679,2.69683356910604,5.9593664933498,2.15261592136627,2
5.00638796420557,1.68943473380212,2.96099726491641,1.40422952384347,1
6.19190037448783,2.13137592569891,4.79427917210846,1.87954054000677,2
6.1093192878607,2.38111466732521,5.57736929160564,2.38788251820746,2
4.33302526006339,3.30321301848472,2.7913079646353,0.280047169658617,1
6.20762572137984,3.14101371612063,5.16666686718884,1.49128067419032,1
4.93622350968612,3.63215254540658,1.86586105081751,-0.0130431777966649,0
6.68495242462058,2.84751121751348,4.74189310936395,1.79168181220507,2
7.52485111102463,3.78269222756327,6.44120336662859,2.54039668069503,2
6.59364343713234,2.79148317612402,5.13443118858932,1.89440774605794,2
6.69426345293165,2.12777908757883,5.78674048423222,1.99227633517911,2
7.18959867304569,2.20016474035568,6.35114401899134,2.16738779203509,2
4.71930364303398,2.59269357537881,1.36432522182819,0.173065853607903,0
4.55896819099174,3.2530238897515,1.7432177841061,1.00255509842435,1
